[0615/195303.227:INFO:CONSOLE(0)] "Access to XMLHttpRequest at 'https://graph.whatsapp.net/wa_qpl_data' from origin 'https://web.whatsapp.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source: https://web.whatsapp.com/ (0)
[0615/203016.483:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/203021.554:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/203025.408:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/203026.616:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/205443.872:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/205448.912:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/205451.101:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/205451.475:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/205558.172:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/205725.621:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/205931.406:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/205936.441:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/205959.455:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210004.484:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210148.798:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210153.864:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210210.181:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210214.937:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210220.000:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210250.249:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210255.274:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210257.104:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210259.061:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210304.094:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210314.113:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210334.140:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210405.087:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210410.102:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210420.121:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210651.754:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210656.605:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210657.431:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210657.464:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210657.766:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210803.191:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210808.221:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210818.242:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210838.269:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210845.724:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210845.976:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210847.104:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210847.293:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210852.323:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
[0615/210902.352:WARNING:dns_config_service_win.cc(509)] Failed to read DnsConfig.
